id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1956232285805584623,"Sorry Sir, my company asked me to take a holiday today (15th August)... https://t.co/e7LClM6wyU",https://x.com/CoderUday/status/1956232285805584623,tweet,Uday,@CoderUday,11,2,27,968,21168,30,2025-08-15 11:21:36,https://pbs.twimg.com/media/GyXtpufX0AMNhrN.jpg,
1955859545009315895,"I want those good olden days back when companies used to hire by simply asking DSA...

But the problem is now almost 90% of candidates can solve any DSA question asked to them.",https://x.com/CoderUday/status/1955859545009315895,tweet,Uday,@CoderUday,38,1,16,801,50474,98,2025-08-14 10:40:28,,
1954540010197365176,"1 year ago, I was happy because I got 100 followers

Now, after exactly 1 year, I almost reached 10,000😍 https://t.co/9gotb7s4Qu",https://x.com/CoderUday/status/1954540010197365176,tweet,Uday,@CoderUday,36,2,2,363,17774,17,2025-08-10 19:17:06,https://pbs.twimg.com/media/Gx_q0FtagAA0Yn6.jpg,
1954040064708882600,"The amount of effort these AI companies are putting into replacing software engineers......

If they put that much effort into solving real-world problems, the world would have been a better place",https://x.com/CoderUday/status/1954040064708882600,tweet,Uday,@CoderUday,375,116,753,10410,424655,776,2025-08-09 10:10:30,,
1953333287511871688,"@manuelbamise I don't know...

The comments were like......

""who is going to tell him""",https://x.com/CoderUday/status/1953333287511871688,tweet,Uday,@CoderUday,1,0,0,3,120,0,2025-08-07 11:22:01,,
1953332995835793718,@Sammehtanew .....,https://x.com/CoderUday/status/1953332995835793718,tweet,Uday,@CoderUday,0,0,0,4,3359,0,2025-08-07 11:20:52,,
1953322284367708564,"There are some product based companies you should never join

I know IITians working there since past 3years all they do is bug fixing

Before joining any company do talk with ex-employees &amp; read reviews..don't blindly join seeing their CTC

Comment if you know any such company?",https://x.com/CoderUday/status/1953322284367708564,tweet,Uday,@CoderUday,18,5,24,539,29950,135,2025-08-07 10:38:18,,
1952739855081062727,"U misunderstood...  I never told about practice(no person with brain do that)...  I gave lame excuses to not join like ex-emp reviews are badon glassdoor, etc etc...

I cant deny based on compensation and other offer as i already told them expected ctc & only interviewing with them.",https://x.com/CoderUday/status/1952739855081062727,tweet,Uday,@CoderUday,2,0,0,32,4066,1,2025-08-05 20:03:56,,
1952692438893732084,"@IndoMaximus Paid interviews(topmate) vs Real interviews is like having sex vs doing mastrubation...

In topmate interviews only you get satisfied... whereas in real interviews you must satisfy interviewer also",https://x.com/CoderUday/status/1952692438893732084,tweet,Uday,@CoderUday,4,1,1,49,2801,1,2025-08-05 16:55:31,,
1952689143378538785,"@IndoMaximus Usually HRs ask current &amp; expected ctc before conducting interviews...

HRs even ask whether we are giving interviews in any other companies...",https://x.com/CoderUday/status/1952689143378538785,tweet,Uday,@CoderUday,1,0,0,106,7025,3,2025-08-05 16:42:25,,
1952676484205707284,"I was scolded by HR for giving interviews for practicing and not joining

Seems I wasted the time of managers &amp; senior engineers.

Though I will continue doing the same..... felt strange to get scoldings from HR for the 1st time",https://x.com/CoderUday/status/1952676484205707284,tweet,Uday,@CoderUday,61,7,60,2036,92818,179,2025-08-05 15:52:07,,
1952254859861790822,"I have seen so many people praying for the downfall of Software engineers.

They are not even in IT industry..

What triggered them? Why hate us?

Are you guys jealous that these software engieers are earning well by simply sitting in AC rooms?",https://x.com/CoderUday/status/1952254859861790822,tweet,Uday,@CoderUday,250,29,160,2867,155082,284,2025-08-04 11:56:44,,
1951734520816025741,+3 Sliding window DSA questions,https://x.com/CoderUday/status/1951734520816025741,tweet,Uday,@CoderUday,0,0,0,12,2235,0,2025-08-03 01:29:05,,
1951730786442571831,"Day 23:
Golang: goroutines, Mutex, RWMutex, sync.Cond, sync.Once, Sync.Pool, Channels

MCP server

GYM: Aerobics + Shoulders workout",https://x.com/CoderUday/status/1951730786442571831,tweet,Uday,@CoderUday,5,0,2,79,5810,17,2025-08-03 01:14:15,,
1951535317506547913,"I might be wrong here

but your first job decides your next job

-If you earn well, you can take separate room in PG or 1 BHK flat on your own
-Less disturbance, more time to concentrate on learning, no hygiene issues or stupid fights

I saw few people &amp; came to this conclusion",https://x.com/CoderUday/status/1951535317506547913,tweet,Uday,@CoderUday,43,6,97,2113,64515,277,2025-08-02 12:17:32,,
1950652880643621213,"Day 22: Completed 1/3 of Head-first Go book 

GYM: Biceps Workout",https://x.com/CoderUday/status/1950652880643621213,tweet,Uday,@CoderUday,0,1,0,26,8506,3,2025-07-31 01:51:02,,
